,Unnamed: 0,ProjectID_x,2010_min,2010_max,2010_mean,2010_sum,2010_median,2015_min,2015_max,2015_mean,2015_sum,2015_median,2016_min,2016_max,2016_mean,2016_sum,2016_median,2017_min,2017_max,2017_mean,2017_sum,2017_median,2018_min,2018_max,2018_mean,2018_sum,2018_median,2019_min,2019_max,2019_mean,2019_sum,2019_median,2020_min,2020_max,2020_mean,2020_sum,2020_median,2021_min,2021_max,2021_mean,2021_sum,2021_median
0,0,VCS2610,0.0,121.0,15.01456703533855,55659.0,5.0,0.0,112.0,14.162125708119774,52499.0,2.0,0.0,116.0,15.455894254113838,57295.0,2.0,0.0,117.0,14.874831400053951,55141.0,5.0,0.0,109.0,14.48988400323712,53714.0,4.0,0.0,99.0,14.459401132991635,53601.0,5.0,0.0,111.0,12.970596169409228,48082.0,5.0,0.0,111.0,13.809279741030483,51191.0,6.0
1,1,VCS1000,95.0,342.0,255.7768714011516,1066078.0,261.0,100.0,372.0,257.01103646833013,1071222.0,259.0,89.0,360.0,255.54990403071017,1065132.0,257.0,94.0,362.0,255.19697696737043,1063661.0,257.0,122.0,365.0,255.521113243762,1065012.0,258.0,112.0,357.0,255.6058061420345,1065365.0,257.0,107.0,366.0,256.02543186180424,1067114.0,257.0,99.0,366.0,254.5127159309021,1060809.0,255.0
2,2,VCS999,1.0,349.0,251.0699608610568,2565935.0,258.0,11.0,386.0,251.51722113502936,2570506.0,253.0,16.0,368.0,251.4615459882583,2569937.0,254.0,11.0,370.0,251.5852250489237,2571201.0,254.0,15.0,370.0,251.33052837573385,2568598.0,254.0,16.0,371.0,251.5155577299413,2570489.0,253.0,12.0,380.0,251.21037181996087,2567370.0,253.0,16.0,384.0,251.3476516634051,2568773.0,253.0
3,3,VCS818,51.0,265.0,185.21074380165288,44821.0,193.0,90.0,263.0,193.1404958677686,46740.0,193.0,94.0,268.0,192.3223140495868,46542.0,192.5,103.0,271.0,192.698347107438,46633.0,196.0,122.0,259.0,188.43801652892563,45602.0,186.0,105.0,249.0,186.400826446281,45109.0,187.5,83.0,259.0,183.21487603305783,44338.0,184.0,104.0,264.0,182.78925619834712,44235.0,183.0
4,4,VCS3506,0.0,531.0,114.74850495178788,673156728.0,101.0,0.0,490.0,113.81768679281176,667696208.0,106.0,0.0,468.0,114.36464039236556,670904838.0,107.0,0.0,479.0,114.60454376695895,672312199.0,107.0,0.0,464.0,114.77716340917016,673324849.0,110.0,0.0,479.0,114.73227326764132,673061507.0,110.0,0.0,472.0,114.50368388198076,671720518.0,106.0,0.0,475.0,114.3210692957105,670649234.0,105.0
5,5,VCS2558,0.0,452.0,276.5679457366924,41508147.0,288.0,0.0,472.0,276.65674993170444,41521475.0,282.0,0.0,461.0,277.9870938080929,41721137.0,284.0,0.0,459.0,278.02365357835333,41726624.0,284.0,0.0,458.0,277.7564614246783,41686523.0,283.0,0.0,457.0,277.608743162117,41664353.0,283.0,0.0,459.0,277.4087071820259,41634331.0,283.0,0.0,453.0,277.4318010700746,41637797.0,283.0
6,6,VCS1686,4.0,491.0,318.98766164738424,61815343.0,329.0,0.0,505.0,318.8592261566883,61790454.0,321.0,2.0,511.0,318.94317958985687,61806723.0,321.0,5.0,535.0,318.7703446069376,61773230.0,321.0,8.0,507.0,318.8339611736658,61785558.0,321.0,3.0,512.0,318.79432982774813,61777878.0,321.0,2.0,507.0,318.8403341830679,61786793.0,321.0,2.0,532.0,318.848090161312,61788296.0,321.0
7,7,VCS1147,0.0,412.0,276.3130700562779,5695365.0,282.0,0.0,420.0,274.9030176596158,5666301.0,276.0,0.0,412.0,273.9170386182806,5645978.0,275.0,1.0,413.0,274.6573355326994,5661237.0,276.0,1.0,411.0,274.8962254997089,5666161.0,276.0,0.0,413.0,275.29448864738987,5674370.0,277.0,0.0,416.0,275.0010673394139,5668322.0,277.0,0.0,417.0,274.8624587618863,5665465.0,276.0
8,8,VCS738,0.0,79.0,8.33160621761658,4824.0,4.0,0.0,105.0,5.298791018998273,3068.0,1.0,0.0,107.0,6.067357512953368,3513.0,1.0,0.0,93.0,4.765112262521589,2759.0,1.0,0.0,103.0,7.34887737478411,4255.0,2.0,0.0,103.0,7.92573402417962,4589.0,1.0,0.0,106.0,8.889464594127807,5147.0,0.0,0.0,146.0,9.801381692573402,5675.0,0.0
9,9,VCS832,0.0,482.0,243.8147996253024,52316073.0,246.0,0.0,478.0,244.11656172957456,52380823.0,246.0,0.0,473.0,243.8931319411109,52332881.0,245.0,0.0,465.0,243.6816561263533,52287504.0,245.0,0.0,473.0,243.43036635550604,52233584.0,246.0,0.0,471.0,243.46139542253684,52240242.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,242.9759009754256,52136068.0,245.0
