,ProjectID,Fire_Year_2001,Fire_Year_2002,Fire_Year_2003,Fire_Year_2004,Fire_Year_2005,Fire_Year_2006,Fire_Year_2007,Fire_Year_2008,Fire_Year_2009,Fire_Year_2010,Fire_Year_2011,Fire_Year_2012,Fire_Year_2013,Fire_Year_2014,Fire_Year_2015,Fire_Year_2016,Fire_Year_2017,Fire_Year_2018,Fire_Year_2019,Fire_Year_2020,Fire_Year_2021,Fire_Year_2022,Fire_Year_2023
0,VCS2418,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,2,1,0,0
2,VCS2391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1
5,VCS2070,1,2,11,26,8,19,18,69,32,60,5,7,11,33,12,13,6,8,3,6,4,3,24
9,VCS1855,3,7,26,39,23,22,21,38,17,46,31,22,33,25,8,16,33,22,41,10,10,15,16
14,VCS2249,4,3,16,20,32,63,188,209,51,64,115,95,298,108,150,117,95,52,97,75,81,79,88
20,VCS1930,1,2,6,23,30,16,39,124,45,37,130,35,192,83,16,89,11,17,65,30,38,16,26
27,VCS2652,0,0,1,0,0,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
35,VCS2379,0,0,5,3,3,2,2,4,20,39,6,10,7,11,9,5,2,5,2,2,5,4,3
44,VCS1896,6,2,23,17,23,25,19,25,12,34,11,15,5,35,23,10,15,23,0,0,0,4,15
54,VCS2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,VCS2083,0,1,5,0,4,3,4,4,9,19,1,4,3,1,3,1,0,8,5,2,7,0,10
77,VCS2387,17,31,141,157,82,114,209,225,95,67,135,53,114,96,44,46,55,39,42,48,42,53,66
90,VCS2378,0,0,5,1,1,0,1,2,1,0,0,0,1,1,0,0,1,3,1,0,1,0,2
104,VCS2082,0,0,1,1,0,3,1,4,0,3,1,0,1,2,0,0,0,0,1,0,1,1,4
119,VCS1826,1,2,4,5,1,3,8,12,11,25,25,22,31,28,50,43,27,35,54,35,34,47,45
135,VCS1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,VCS2451,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170,VCS2745,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,6,2,2,1,1
189,VCS1865,0,1,6,1,3,0,4,6,8,39,0,3,0,8,6,6,2,7,2,5,7,1,8
209,VCS2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
230,VCS2413,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
252,VCS2370,2,112,30,22,86,59,271,54,66,77,82,98,48,46,196,99,81,58,71,111,64,74,74
275,VCS1328,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0
299,VCS2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
324,VCS2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,VCS1684,0,0,5,6,8,4,3,10,6,6,3,1,2,1,6,2,2,1,4,2,1,2,3
377,VCS2958,0,0,4,7,4,4,19,9,7,16,1,6,4,11,2,41,0,1,7,5,1,1,4
405,VCS1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,VCS1493,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
464,VCS2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,VCS2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,VCS2088,1,0,3,2,0,4,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0
560,VCS2792,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
594,VCS994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
629,VCS1015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,VCS922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,VCS672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,VCS1477,1,21,2,10,5,48,0,0,26,0,4,4,0,29,201,0,0,14,39,0,0,0,1
779,VCS1498,0,0,0,0,8,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0
819,VCS2403,0,1,0,0,9,1,0,0,0,0,0,4,13,3,0,0,0,0,0,1,0,0,0
860,VCS1899,0,0,7,74,2,141,4,0,16,0,0,150,0,10,779,0,0,0,5,0,0,0,0
902,VCS1748,7,11,61,64,50,48,58,36,71,31,61,45,100,33,62,57,32,42,49,44,49,15,58
945,VCS1689,0,0,19,22,26,17,18,19,24,71,59,94,134,218,346,490,155,342,427,423,514,205,376
989,VCS2606,0,1,0,0,1,3,7,2,0,4,3,1,7,3,2,1,2,0,0,2,1,4,1
1034,VCS2327,1,0,6,4,1,2,2,5,3,4,2,3,4,4,1,1,0,2,0,2,3,0,3
1080,VCS2326,0,0,0,1,0,0,2,3,1,1,2,0,1,2,2,0,0,0,0,0,0,0,0
1127,VCS1935,0,0,1,3,7,0,3,2,8,11,5,15,5,2,0,4,0,0,1,0,0,0,1
1175,VCS1529,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,VCS1715,3,0,4,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1274,VCS1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,VCS1664,3,1,10,15,13,17,13,3,6,8,3,6,0,3,2,3,1,0,0,5,1,0,1
1377,VCS2609,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1430,VCS1398,32,41,112,131,136,102,127,97,96,140,124,87,108,143,130,119,92,100,195,226,280,258,455
1484,VCS1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
